ID,Plot,State,Dom_SPP,Focal_SPP,Transplant,Type,PSF,Census,Date,Surv1,Height,Leaves,Tiller,Long,Short,Surv2,logMass.harv,logMass.both
58,56,D,NA,BOGR,BOER,Live,Away,2,4-Sep-14,1,6.3,6,1,,,0,-0.5259419,-0.936081041
59,56,D,NA,BOGR,BOGR,Live,Home,2,4-Sep-14,1,25,31,10,,,1,0.57226,-0.60573
60,56,D,NA,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,17.5,36,12,,,1,0.633215,-0.28672
61,59,D,NA,BOER,BOGR,Live,Away,2,4-Sep-14,1,11.2,6,2,,,1,-0.384186,-0.661502
62,59,D,NA,BOER,BOER,Live,Home,2,4-Sep-14,0,,,,,,0,-1.07486,-0.9979
63,59,D,NA,BOER,BOER,Sterile,Sterile,2,4-Sep-14,1,7.2,7,2,,,1,-0.4410296,-0.873926904
64,59,D,NA,BOGR,BOER,Live,Away,2,4-Sep-14,1,9.3,7,2,,,1,-0.2605829,-0.874057251
65,59,D,NA,BOGR,BOGR,Live,Home,2,4-Sep-14,1,14.9,14,3,,,1,-0.232497,-0.709554
66,59,D,NA,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,6.1,4,1,,,1,-0.558653,-0.574446
67,61,S,BOGR,BOER,BOGR,Live,Away,2,4-Sep-14,1,19.5,51,13,,,1,0.757245,-0.28741
68,61,S,BOGR,BOER,BOER,Live,Home,2,4-Sep-14,0,,,,,,0,-1.07486,-0.9979
69,61,S,BOGR,BOER,BOER,Sterile,Sterile,2,4-Sep-14,0,,,,,,0,-1.07486,-0.9979
70,61,S,BOGR,BOGR,BOER,Live,Away,2,4-Sep-14,1,9,18,4,,,1,-0.271205,-0.74961863
71,61,S,BOGR,BOGR,BOGR,Live,Home,2,4-Sep-14,1,23.8,7,1,,,1,-0.270674,-1.067568
72,61,S,BOGR,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,0,,,,,,0,-0.74939,-0.45953
73,67,D,NA,BOER,BOGR,Live,Away,2,4-Sep-14,1,8,3,1,,,1,-0.52774,-0.62738
74,67,D,NA,BOER,BOER,Live,Home,2,4-Sep-14,0,,,,,,0,-1.07486,-0.9979
75,67,D,NA,BOER,BOER,Sterile,Sterile,2,4-Sep-14,1,5,4,1,,,0,-0.637647,-0.93600035
76,67,D,NA,BOGR,BOER,Live,Away,2,4-Sep-14,1,7.5,18,4,,,1,-0.4000955,-0.749525525
77,67,D,NA,BOGR,BOGR,Live,Home,2,4-Sep-14,1,5.7,6,2,,,1,-0.473671,-0.508272
78,67,D,NA,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,5.6,4,1,,,1,-0.566788,-0.560516
79,69,S,BOGR,BOER,BOGR,Live,Away,2,4-Sep-14,1,11.7,6,1,,,1,-0.467541,-0.730462
80,69,S,BOGR,BOER,BOER,Live,Home,2,4-Sep-14,1,3.6,5,1,,,1,-0.7579448,-0.935913452
81,69,S,BOGR,BOER,BOER,Sterile,Sterile,2,4-Sep-14,1,7.8,5,1,,,1,-0.3970514,-0.936174146
82,69,S,BOGR,BOGR,BOER,Live,Away,2,4-Sep-14,1,5.9,12,3,,,1,-0.5451567,-0.811636213
83,69,S,BOGR,BOGR,BOGR,Live,Home,2,4-Sep-14,1,5.8,16,5,,,1,-0.197574,-0.345968
84,69,S,BOGR,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,8.2,17,3,,,1,-0.341506,-0.522892
85,77,D,NA,BOER,BOGR,Live,Away,2,4-Sep-14,1,4.5,12,2,,,1,-0.493195,-0.47484
86,77,D,NA,BOER,BOER,Live,Home,2,4-Sep-14,1,5.6,7,2,,,1,-0.5785128,-0.873827592
87,77,D,NA,BOER,BOER,Sterile,Sterile,2,4-Sep-14,0,,,,,,0,-1.07486,-0.9979
88,77,D,NA,BOGR,BOER,Live,Away,2,4-Sep-14,0,,,,,,0,-1.07486,-0.9979
89,77,D,NA,BOGR,BOGR,Live,Home,2,4-Sep-14,1,1.3,3,1,,,1,-0.636749,-0.440718
90,77,D,NA,BOGR,BOGR,Sterile,Sterile,2,4-Sep-14,1,7.8,10,2,,,1,-0.439504,-0.566778
91,79,S,BOER,BOER,BOGR,Live,Away,2,4-Sep-14,1,15.9,14,3,,,1,-0.216227,-0.737414
92,79,S,BOER,BOER,BOER,Live,Home,2,4-Sep-14,1,5,6,2,,,1,-0.630069,-0.87379035
93,79,S,BOER,BOER,BOER,Sterile,Sterile,2,4-Sep-14,1,7,7,1,,,1,-0.465793,-0.93612449
